minute,cpu_avg,cpu_max,mem_avg,assigned_mem
365,3.4655869801839194,0.113037109375,0.8541984558105469,3.325103759765625
385,3.4960619608561196,0.0013942718505859375,1.2063751220703125,0.0
390,3.6301352183024087,0.0377197265625,1.2277123133341472,0.1389522552490221
394,0.17032178243001303,0.0048675537109375,0.37791697184244794,0.006988525390625
396,0.13589954376220703,0.00629425048828125,0.02443250020345052,0.018062591552734
410,0.006218274434407552,0.007232666015625,0.016989707946777344,0.044921875
416,0.005521138509114583,0.0053558349609375,0.01684252421061198,0.0002851486206054
420,0.10919729868570964,0.0958251953125,0.019062042236328125,0.04296875
425,0.10498523712158203,0.003513336181640625,0.005238850911458333,0.0075531005859375
430,1.1339858373006184,0.00743865966796875,8.901237487792969,0.0074310302734375
435,1.3348296483357747,0.03204345703125,9.30102284749349,1.6203994750976562
439,1.335465431213379,0.008148193359375,9.300043423970541,0.0081024169921875
440,0.51123046875,0.00848388671875,1.213762601216634,0.0139694213867187
445,11.768058776855469,0.3447265625,8.11772886912028,35.03125
446,11.771989186604818,0.00043582916259765625,8.120607693990072,0.247516632080071
475,11.56742000579834,0.005889892578125,7.31105105082194,0.0
485,0.00772857666015625,0.002902984619140625,0.021034876505533855,0.10540771484375
495,0.9667275746663412,0.023834228515625,0.17413838704427084,0.9290313720703002
540,1.071348508199056,0.124267578125,0.2526985804239909,0.2327423095703125
555,1.158276875813802,0.0802001953125,0.27338695526123047,0.0074539184570312
560,0.3994057973225911,0.0716552734375,0.3709360758463542,0.0
575,0.29537709554036456,0.0007581710815429688,0.29349009195963544,0.0
580,0.29601287841796875,0.220703125,0.2619272867838542,0.0
585,0.09131431579589844,0.00518035888671875,0.0091400146484375,0.0071258544921875
593,0.09088897705078125,0.000476837158203125,0.010265350341796875,0.0234489440917962
595,0.058774312337239586,0.0657958984375,0.009660085042317709,0.0364761352539052
600,10.84965451558431,0.6611328125,6.818477630615234,27.75927734375
615,11.008682250976562,0.04986572265625,6.932192484537761,1.1471481323242188
635,11.225611368815104,0.1004638671875,7.000595728556315,0.1995010375976523
640,0.7470550537109375,0.0870361328125,0.45907147725423175,1.024261474609375
